Id,Emotion,Sentence
3065,Enjoyment,"năm nào cả sinh nhật âm hay dương mẹ cũng gọi điện cho mình , bà ngoại trên 80 , bác ruột mình đều nhớ hết 😂😂😂"
3066,Other,quan trọng nhất vẫn là tấm lòng 🙂
3067,Enjoyment,cái mặt hoang mang thấy thương 😆❤️
3068,Anger,nhìn ức chế vãi
3069,Fear,coi mà cái tay nó rung trái tim nó đập sợ cái thằng đó té sấp mặt luôn thì không bình thường họa mi còn hót được không :))))
3070,Disgust,nhìn kinh vãi
3071,Other,hỡi thế gian tình ái là chi mà đôi lứa nguyện thề sống chết ? 😁😁
3072,Other,per bất nghờ bốc cháy
3073,Disgust,"đọc bình luận mới công nhận "" mấy đứa nói đạo lý sống như lol "". đây là câu chuyện vui bạn bè trêu nhau thôi không đến lượt mấy người dạy bé cách cư xử như thế nào đâu . có người con như thế nào bố sẽ rất tự hào đấy"
3074,Enjoyment,chuẩn kkk 😁
3075,Other,😂😂😂 nhìn và đợi chúng nó chia tay
3076,Other,làm mấy chuyện dở người để được nó chú ý
3077,Disgust,không mưa thì kêu trời mưa thì cũng kêu trời
3078,Other,họ có thể không giàu có về vật chất nhưng hạnh phúc của họ giàu hơn rất nhìu người ❤
3079,Disgust,"người ta ăn hàng tỉ lại phát 5 tr , còn gì là pháp luật nữa"
3080,Disgust,à còn có thể loại con trai cắt tóc xong rồi tự soi gương xong khen mình đẹp trai mới vãi
3081,Enjoyment,"per đi làm với c mình vui hết xẩy , trừ những lúc khó tính :))"
3082,Other,phải tôi đỗ lên vỉa hè giáp cửa nhà bạn bán hàng luôn . vỉa hè rộng thế kia cơ mà .??????????
3083,Sadness,cảm thấy sợ mấy thứ suy nghĩ cổ hủ của người lớn :(
3084,Enjoyment,bò ra mà cười :))
3085,Other,per xem cái này đỡ chán đi ông
3086,Sadness,em buông tay anh nhé .... quá khứ ấy anh hãy xoá hết đi .......
3087,Enjoyment,thông minh vãi
3088,Other,gửi đứa nào chưa có người yêu
3089,Disgust,mày lười vãi lol
3090,Other,đi xem 1 mình có sợ ma không 🤔
3091,Other,chả thấy nói nó cho admin bao nhiêu xiền để pr nhỉ
3092,Enjoyment,tôi đã xem đi xem lại 3 lần và xem lại lần hai mới hiểu hết nội dung và thấy hay hơn khi xem lại lần 3 . ai chưa xem hãy vào xem thử 2 lần !
3093,Other,"anh biết em có nhiều chuyện , nhưng việc trước mắt là em nộp phạt đã , nếu không xe em sẽ bị thu vào đồn"
3094,Sadness,thế hóa ra nguy cơ trầm cảm của tao cao lắm
3095,Enjoyment,mày giận lại tao hả tốt quá bố mày được đi chơi game rồi . tối về dỗ nó sau . chờ mãi câu giận của mày :))
3096,Other,đừng đùa với người nước ngoài nhé
3097,Disgust,làm giáo sư mấy chục năm mà cuốn giáo trình chưa thuộc hết nữa à
3098,Sadness,anh lỡ mất em rồi huhu
3099,Other,nhớ lại ngày xưa
3100,Enjoyment,bình tĩnh vãi_chưởng =))
3101,Disgust,đai giảm tốc độ kiểu ấy mà gặp mấy bà đang đau đẻ là xác định đẻ trên xe hay ở nhà đi rồi hẳn đem lên bệnh viện 😂😂😂
3102,Enjoyment,thạ timmmmm đùa tao yêu mặt nó lúc ôm đầu vlllll xinh quá con ưiiiiiiii
3103,Anger,đứa nào tin là đơn giản thế ra đây tao tát cho vài cái cho tỉnh :)
3104,Anger,mẹ . trung thu là tết thiếu nhi . có phải mùa động dục đâu mà phải có người yêu nhỉ . vớ va vớ vẩn 😒
3105,Sadness,nhiều khi cũng muốn người yêu chọc để dỗi phát cho bằng người ta . mà nhận ra mình làm gì có người yêu 😌
3106,Anger,lâu lâu mới có dịp ăn bánh trung thu mà gặp bán hàng halo thế này thì cho ế mẹ luôn không mua bán gì hết . xem ai bất hạnh hơn ?
3107,Other,ngáo như con cáo rồi ????
3108,Anger,khác đéo gì . về thái độ lồi lõm nhìn muốn sút cho phát 🤬🤬
3109,Other,mấy con gà bị lừa mà đéo biết .
3110,Disgust,móng dài thế lúc đi ỉa xong làm sao xịt nước . xịt nước 1 tay còn tay kia phải rửa đít mới sạch được chứ . khả năng cao ông này dùng giấy chứ không dùng vòi xịt
3111,Enjoyment,chút mua ... hehe
3112,Sadness,tạm biệt ánh sáng của đời tao
3113,Sadness,cái tháng học sấp mặt luôn
3114,Enjoyment,làm ở đâu không quan trọng . quan trọng là có chị em tốt để tạo nghiệp :))))
3115,Sadness,giống chó này hình như không có lông ạ ?? chó nhà em lông rụng đầy nhà .. huhu
3116,Sadness,tôi từng được sống . nhưng đấy là truyện của năm ngoái rồi
3117,Disgust,một lũ ngu
3118,Enjoyment,dễ thươnggg
3119,Sadness,"vãi cả phí , có ... 81 tỷ hoy 😓"
3120,Disgust,ra tới cổng tao nói ha xấu cái chắc tao cười ỉa
3121,Fear,nếu địa phương không xây cầu thì người dân cũng có thể tự làm cầu cây mà . phóng lỡ hụt chân thì xác định nát người .
3122,Disgust,cứ chiếu mấy bộ phim thế này bảo sao tụi nhỏ không chịu học
3123,Other,giận làm gì cho mệt 🙄 đằng nào mày cũnh phải xin lỗi tao mà
3124,Sadness,móng của bố tao . hồi trước và bây giờ đã cắt vì lý do . sức khoẻ .
3125,Surprise,uầy các cụ ngày xưa đẹp trai xinh gái thế
3126,Enjoyment,nín đi . sang ngủ với mẹ đi đêm nay anh chông chị cho =)))
3127,Disgust,"không nghe lời cha mẹ , không ăn học , giờ đi hốt rác . không có giá trị trong xã hội , bày đặt chữi ai ."
3128,Anger,mày không phải nhảy vào mồm tao như thế . nhảy vào là tao cạp cạp cạp ...
3129,Sadness,mình thiì chưa năm nào được trọn vẹn
3130,Anger,loại mất dậy
3131,Other,hỏi thế gian tình ái là chi =))))
3132,Fear,quả mắt nhìn sợ vãi
3133,Anger,vặt đôi gương cảnh cáo :))
3134,Enjoyment,per chúng ta vẩn xài . kk
3135,Other,per nhớ lần mua mộc ra bờ sông ghê . đã thế còn làm li đặc biệt . dm
3136,Disgust,cảm xúc đéo gì khi mà họp lớp đéo đi
3137,Disgust,vừa xử lí vừa thải nước bẩn ra liên tục thì coi như bó tay
3138,Enjoyment,moá cưng quá ??
3139,Disgust,má con đàn bà thối mồm gặp thằng say hèm
3140,Enjoyment,đó là dấu hiện của sự trưởng thành =)))))))))
3141,Enjoyment,cứ mỗi lần có phim hay là xách nhau đi 🤣
3142,Surprise,vãi đông như này á 😢
3143,Enjoyment,cười muốn tắt thở 😂😂😂
3144,Other,ừ thế là kể từ đấy về sau đứa con trai nào cũng trở thành huynh đệ với nó hết
3145,Sadness,per không lẽ sau này kím bạn trai không tập gym 😖
3146,Sadness,per huhuu không biết lúc đấy thực tập chưa :(((
3147,Enjoyment,chất quá .. haha
3148,Disgust,"per cái thứ yêu nghiệt này cứ thấy tao như thấy crush , cứ gặp tao là đuổi :)"
3149,Other,"ốm cũng được , chỉ cần mát thôi 😌"
3150,Other,cái vị mà ai cũg muốn thử và mỗi người thử lại cảm nhận được một vị riêng
3151,Surprise,per mày ăn ở kiểu gì mà ra được cái này luôn thế
3152,Disgust,chứ còn con mẹ gì nữa 😔
3153,Other,"per 2ce thì có thể làm được , ly mà làm như vầy thì 🤣"
3154,Disgust,- chủ tịch giả nghèo bán vé số và cái kết -> đừng bao giờ xem thường người khác
3155,Other,phải giết ngay không nó lại đẻ trứng
3156,Enjoyment,yêu chết dược 😍😍😍
3157,Enjoyment,"thằng bạn ngồi kế bên lớp 2 nhà bán vàng mà nó học dốt , thế là làm bình thường về nhà cho nó , 1 bài 2k , mồi ngày kiếm 8 - 10k 🤑"
3158,Sadness,để tao nấu thì quên luôn . xác định tối đó đói :((
3159,Enjoyment,ngưỡn mộ chi lâu lắm oy . mà giờ biết thêm nhiều về chj nữa nên càng yêuc chj nhiều hơn 😍😍😍
3160,Enjoyment,haha cứ lên xuống thấp thỏm kìa ..
3161,Other,còn nhiều người chưa có người yêu lắm :)
3162,Enjoyment,các bạn trẻ ! người lớn có thể nghe thấy tiếng chó kêu mà không hành động gì để cứu vớt . các em thật đáng khen . cần những bạn trẻ nhân ái như các bạn .
3163,Enjoyment,cuối cùng per cũng thành công rồi nha per nha
3164,Enjoyment,🤣 lau mặt bằng quần chíp của vợ à ?
3165,Disgust,đồng nghiệp của tôi là ai 😑
3166,Disgust,con chó có đuôi . con người có ý thức . đm mấy thằng lol này ý thức đéo bằng con ruồi .
3167,Fear,"khi xưa bị rượt 1 lần mà nhớ đời , còn mổ tao nữa chứ 😨😨😨"
3168,Disgust,việc mày giận lại không còn quan trọng khi mày đéo còn là món mà nó hứng thú nữa 🙂
3169,Fear,gì mà ghê vậy 😑 sởn gai ốc
3170,Enjoyment,ngầu lắm bạn ạ ^^
3171,Enjoyment,thực ra chỉ cần nhập đúng input là được thôi mà :d
3172,Enjoyment,dăm ba chuyện hẹn hò có gì hay ho 😌 nhưng mà thi thoảng có dăm ba cái chuyện này cũng hay 🙂 tóm lại xem để giải trí đỡ buồn cũng tốt 🙂
3173,Other,t tưởng nó nói tiếng việt chứ
3174,Enjoyment,má đáng yêuc quá dạyyyy ??
3175,Other,per đẳng cấp nào rồi em
3176,Enjoyment,"sao mày không như crush của tao , thuỷ triều lên cũng đéo sợ nhé 😆"
3177,Sadness,khổ thân vãi :)) xong bà lườm luôn :))
3178,Other,học sinh cứ làm mấy việc tốt như thế này có phải các phụ huynh yên tâm không . 😍😍
3179,Enjoyment,dù trời có sập cũng phải ăn đã nhé :))) anh có gấp lắm cũng phải chờ em nhé 🤣🤣🤣
3180,Enjoyment,cưng thiệt chớ ????
3181,Other,"màu này lạ quá , kết hợp hài hòa đẹp quá"
3182,Other,"dùng iq xíu đi mấy má , người ta đang mô tả tình yêu của người ta"
3183,Other,đây là hình ảnh của boss trước khi có vợ và sau khi có vợ là một tr một vực
3184,Disgust,ý thức người khác không tốt thì cũng chẳng bao biện được hành xử của bạn không tốt . nghe từ đầu đến cuối là tiếng la hét chửi rủa -.-
3185,Fear,"thật là romantic , mà mà mà ... sao nghĩ tới cảnh động phòng hoa chúc tao thấy nhột nhột lỗ đít 😧😧"
3186,Anger,"per đi coi phim coi , hẹn quài luôn á"
3187,Enjoyment,bố là số 1 vĩ đại hơn những gì con cần
3188,Disgust,tưởng thế mà ngầu
3189,Sadness,hôm nay anh xin lỗi em về những việc anh đã làm hôm nay .. anh không thể kiểm soát não anh được nữa rồi 🤫
3190,Enjoyment,thế này mà gặp per thì phải chạy phọt dắm ra quần per nhỉ
3191,Sadness,sao nỡ lòng nào khiển trách bác ấy . còn họp kiểm điểm nữa . tội quá .
3192,Sadness,khổ nhân viên
3193,Fear,mới ho mà đã như thế nào thì lấy chồng chắc sống trong bệnh viện cả đời mất thôi
3194,Anger,hồi lúc nhà tao nuôi mấy con ngỗng . mỗi lần đi ngang nó là nó đòi dí cắn mà trong khi tao là người cho nó ăn . thứ ngu như bò 😤😤
3195,Surprise,thế mà cũng bắt được siêu vãi
3196,Enjoyment,per ê xem đi phim này lâu rồi nhưng mà hay lắm
3197,Sadness,còn tao thì còn không có nổi 1 người tỏ ra thân thiết quan tâm cơ . _ .
3198,Sadness,có gặp cũng đéo dám ngẩng đầu lên nhìn
3199,Fear,"công nhận lãng mạn thật , nhưng tao đang tưởng tượng cái cảnh động phòng , eo ơi ......"
3200,Other,ông định làm gì anh vợ tôi ?
3201,Sadness,có đủ mọi gia vị :< em thấy vị đắng của sự chua sót quá nhiều :)
3202,Anger,thằng chó chết mày quá dã ư
3203,Sadness,có duyên nhưng không có phận ... người ở lại vẫn luôn là người đau nhất !
3204,Other,per hôm nay c cũng bị giống thằng này này
3205,Enjoyment,mua thêm vài trăm con cá xấu thả chắc vui hơn
3206,Sadness,:( cầu chúa ơn nhiều ban bình an cho những người kém may mắn như vậy
3207,Disgust,đéo hề dễ thương khi nó cười với đứa khác :))
3208,Other,dài quá vướn víu
3209,Fear,nhiều lúc sợ bị pê đi
3210,Sadness,"trượt rồi , còn đâu mà rủ 😞"
3211,Disgust,hình như đây là 3 đứa ranh con củ lồn đó ((:
3212,Disgust,"kiến đỏ thì được , nhưng đây thì lại mấy con kiến hay bò qua cứt .... mấy ổng ăn ngon vãi 😐"
3213,Enjoyment,azz :3 mặt cưng xĩu
3214,Fear,"lâu lắm đéo được gặp nhện trong wc , quên mất cảm giác nhịn ỉa như nào rồi 😂"
3215,Anger,cái thứ bán hàng đéo có tâm . rồi mày sẽ ế bánh cho mà xem
3216,Disgust,ko biết đúng sai như thế nào giờ báo đài ai cũng bênh ông vũ tự nhiên cảm thấy táo xàm vì tiền bất chấp .
3217,Enjoyment,gặp tao cũng thế :)))
3218,Enjoyment,"cái quá phơi lúa xong mưa , tao đang cười vì bà béo thì phải ngậm mồm ."
3219,Disgust,chụp xong về chia tay ráng chịu :)))
3220,Enjoyment,"per huyền thoại , kkkk"
3221,Enjoyment,3 chàng ngốc . top 1imdb phim đáng xem nhất mọi thời đại
3222,Disgust,giống con nít quá ba :)))
3223,Disgust,đúng là thằng admin khùng
3224,Enjoyment,"ngày xưa toàn bị mẹ đánh bằng dây điện , vụt phát nào ứa máu phát đấy . giờ nghĩ lại tự nhiên lại thấy hay , vì ngày xưa mẹ nghiêm khắc như thế giờ mình mới ngoan 🙂"
3225,Anger,thằng dăm này phải cho vào tù nó mới biết thế nào là dâm rê
3226,Surprise,per cú này hoành tráng hơn bệnh nhân của anh luôn nè
3227,Surprise,cái này đẹp tía
3228,Enjoyment,nào tao cũng phải thử =))))
3229,Disgust,ngu thì chết . chẳng biết nó nghĩ sao mà lao vô cướp ngân hàng ... có thằng nào thoát bao giờ đâu . không biết nó có hiểu không 😅😅😅
3230,Other,này 2 đứa . đã chia tay chưa . chia tay rồi có xem lại video này không .
3231,Other,cho hết vào trường giáo dưỡng
3232,Other,cao su không thu mà đồi cao su đắt vậy
3233,Enjoyment,per gặp thần tượng mỗi ngày kkk
3234,Other,lâu lắm không nghe bài này .. có bà bạn bình luận dạo mới nghe lại ??
3235,Anger,con mèo mặt lol dám đập con thỏ của tao sao 😡😡😡. dkm mày
3236,Enjoyment,sau nay em cung uoc duoc nhu vay ❤
3237,Enjoyment,ngộ nghĩnh nhỉ ! lạ lờ nhỉ !
3238,Sadness,một năm đầy biến động và thăng trầm của nước pháp ☹️
3239,Disgust,"dm gì cũng bắt phải làm , phí thu vãi thì chả top1 :))) nhân với chả viên"
3240,Enjoyment,per :)) hiểu được nỗi lòng anh chưa ! mốt đừng giận anh nhiều nữa nha
3241,Surprise,việt nam có hệ thống bật tường sắt như nước ngoài luôn à :v
3242,Disgust,nhìn mặt con mèo là thấy ghét rồi
3243,Sadness,phận làm con trai haizz
3244,Disgust,chơi ngu vừa thôi mày
3245,Other,thiết kế vậy tiện . nào hư của xe thì lấy của quạt gắn vào đỡ mất tiền thay
3246,Other,biết bao khó khăn mới được vậy
3247,Sadness,3 giờ sáng nằm xem xong khóc miên man 😢😢
3248,Enjoyment,em mình là con trai viết đẹp y chang thế này nhé
3249,Other,hóa chó nhiều quá thì cũng có lúc phải hóa thành người chứ =))))
3250,Anger,dm con già mà hành xử trâu chó . đời nó sẽ gặp báo ứng
3251,Enjoyment,per má có điểm cho sướng vãi
3252,Enjoyment,cảm ơn những người thả 😡 nên mình biết là đéo hay nên mình đéo xem . may vãi
3253,Other,đề này cũng bình thường mà đâu có khó
3254,Disgust,mắc dại thiệt chứ
3255,Disgust,kém sang
3256,Sadness,thanh xuân là để bỏ lỡ 😔
3257,Other,tẩy được bao nhiêu mà hô hào gớm thế
3258,Other,công khai biết sai sao vẫn làm .
3259,Enjoyment,năm ngoái nhìn rồi năm nay ở nhà xem lại phim ác quỷ valak the nun .😄😄
3260,Enjoyment,đẹp trai v :((((
3261,Disgust,"chủ quá vô tâm ?? thà đừng có nuôi , nhà tôi nuôi chó cỏ thôi nhưng vẫn tim thuốc định kì đấy ??"
3262,Disgust,do kiếp trước mày nghiệp nhiều quá lên giờ phải trả thôi
3263,Enjoyment,có tâm mới có tầm haha
3264,Surprise,lấy tiền tỷ mat phạt có 5tr thôi á ?
3265,Sadness,per nghe lại buồn vãi
3266,Sadness,năm nay chạnh lòng quá . haizz
3267,Enjoyment,"mình theo dõi mấy nick quân nhân , tập trận , pccc ... hay vãi luôn á ."
3268,Fear,ám ảnh đến bây giờ 24 tuổi vẫn sợ ngỗng :)))
3269,Other,"thao trường đổ mồ hôi để chiến trường đỡ đổ máu , ý thức từ bé đi 🙂"
3270,Disgust,"và mấy mẹ thấy mỗi cái chi tiết : ông vũ khuyên bà thảo lui về sau . chăm lo cho gia đình .,,, là gào mồm lên , kêu đàn ông gia trưởng này nọ , vũ phu , bảo thủ nọ kia .... đúng là toàn mấy con bò ... chả ai hiểu bà thảo bằng ông vũ cả đâu , người ta khuyên vợ lui về vì thừa biết tính vợ , tầm nhìn của vợ đến đâu . còn thực vợ giỏi , có tầm thì chả thằng nào không muốn sát cánh , đồng lòng với người chăn gối , tay ấp cùng mình cả . vấn đề là cái tầm của bà thảo để mà đưa tn đi lên chỉ có vậy , vì đó là tâm trí của một con buôn ."
3271,Enjoyment,"ba cái đồ yêu , 1 ngày 2 lần nấu đây , ngon bá cháy bọ chét nhé , thơm mùi khói nữa …"
3272,Disgust,nó sẵn sàng kiếm cớ bỏ người đang quen để theo người có tiền nhiều hơn
3273,Other,tại ông bố bảo thủ hết
3274,Anger,"trung thi thì liên quan mẹ gì đến việc có gấu , tao thà ngồi nhà cho khỏe để xem mấy thằng đó dắt vợ của thằng khác đi chơi !!"
3275,Enjoyment,:))) đồng nghiệp đáng yêu
3276,Enjoyment,chuẩn không cần chỉnh chỉ cần sửa thôi ...
3277,Enjoyment,chuẩn lun
3278,Disgust,dume hẩy kiểu đó làm sao mấy bà kia ăn dô nữa 🙂
3279,Enjoyment,crush của tao cười hơi bị xinh :3 xinh + cười = đỗ mãi • 3 •
3280,Disgust,"trông mấy anh bên người ta vẫn men nhỉ , bên mình bạn nam dưới nhìn hơi íu đúi ."
3281,Surprise,woa ... dài dữ ..😃😃
3282,Fear,đừng ai lấy cả hộp kẹp của anh ý nhé :(((
3283,Sadness,lại mất tiền ngu
3284,Other,có người còn thả haha não gì ấy nhỉ . gạch đá xin nhận
3285,Enjoyment,sau vụ 200k thì vụ 5tr này có nội dung hài hước y hịt :))))
3286,Other,sang năm khênh hẳn giường ra nằm xem cho đỡ mỏi lưng
3287,Fear,má chắc gặp tao chạy mất giày
3288,Sadness,thế chân ngắn như tao thì phải làm sao với cái cầu
3289,Enjoyment,phim rất ư là hay lun quả xứng đáng là đạo diễn phim việt nam tài ba
3290,Disgust,mẹ mấy tk chê này chê nọ thử chạy 5 vòng sân bóng đá đi đã rồi hãy phán người khác .
3291,Disgust,thằng biến thái
3292,Enjoyment,ra xã hội rồi mới biết mình còn may mắn hơn rất nhiều người vậy nên hãy trân trọng những gì mình có 😊
3293,Anger,đéo thấy vui đến lúc nó dừng xe đạp nó vả cho vỡ mõm lại hỏi tại sao 😌
3294,Enjoyment,đầu năm chúc đại kỷ nguyên vạn sự như ý nhé
3295,Other,"hồi nhỏ chỉ khi nào mẹ làm bánh tai yến thì mới dùng tới bếp dầu hôi này , không là bỏ tủ để dành"
3296,Disgust,khi bạn ngu tất cả các lĩnh vực như toán học văn học nhưng vẫn cố tỏ ra nguy hiểm
3297,Sadness,tự nhiên mình lại không muốn làm single mum nữa -.-
3298,Other,quan trọng là đồng nghiệp tốt và sếp
3299,Sadness,không có gì là tồn tại mãi nhỉ
3300,Sadness,đau lòng lắm khi tối nay chồng tương lai của tao lại cống hiến sức lực để chăm sóc vợ thằng khác ..
3301,Disgust,nhiều cụ cứ chửi người ta mà không chịu xem lại bản thân mình :))
3302,Disgust,đi hành xác chẳng có cái vẹo gì :))) tao đi 1 lần tao cạch
3303,Other,chưa hoàn thiện hết đâu .
3304,Enjoyment,các bạn đã xuất sắc hoàn thành nhiệm vụ
3305,Disgust,"chạy xe ra đường mà che kín mặt , làm sao mà quan sát xung quanh được . đúng là ninja xành điệu , mai mốt thành ninja bàn thờ cho mà xem ."
3306,Enjoyment,per mỗi ngày đi làm thấy per là như có thêm power cho 1 ngày siêng năng !!!!
3307,Disgust,con gái thật lòng nhất khi con trai không có gì . con trai thật lòng nhất khi anh ta có tất cả mọi thứ . cuộc sống mà 🙄 có chắc mình thấy gái xinh là không tớn lên không mà đòi con người ta không mê tiền . phát biểu nghe thực dụng vãi
3308,Disgust,"dume lương cao nhất vẫn là các lãnh đạo nhé , trăm đến nghìn tỷ :))) mà toàn chạy thêm xe ôm với bán rau :))))"
3309,Enjoyment,cuối cùng tao cũng được xem hết mấy cái video mà trước đọc comt đéo hiểu gì 🤣🤣
3310,Disgust,cái phim vietsub đang hay lồng tiếng vào nghe dị ứng thật 😒😒
3311,Other,nắng quá chứ bộ ai muốn
3312,Other,sau vụ này ý thức đậu đỗ xe của tài xế sẽ tốt hơn rất nhiều !
3313,Sadness,hôm ấy tao chân ướt chân ráo từ quận 6 lên quận 3 cũng rẽ trái đoạn ntmk và cmt8 . mất 3 lít :( khôn hẳn ra
3314,Fear,nổii da gà hic
3315,Enjoyment,tìm mọi lí do để có thể chạy xe ngang nhà nhìn nhà nó phát xong cười mãn nguyện đi về :))
3316,Fear,nguy hiểm lắm
3317,Disgust,ông này chính xa ́ c làm biến nhất thế giới !!! để bộ móng tay như thế này sao làm được mọi viê ̣ c !
3318,Enjoyment,tính ra tao lúc nào cũng hài hước vui vẻ luôn đó trời :))))
3319,Sadness,"cũng tùy , đôi khi không cần vật chất mà chỉ cần động viên , san sẽ những khi con mình vấp ngã hay khó khăn trong cuộc sống thì ..."
3320,Sadness,cảm thấy bị tổn thương
3321,Disgust,eo ....
3322,Fear,sởn gai ốc với chị ấy
3323,Other,"haha con hãm bán nước hoa fake mà kêu real , bị tao vạch mặt rồi block tao"
3324,Disgust,hóng mấy đứa mấy thằng tag người yêu rồi ảo tưởng như thế này xd
3325,Sadness,"còn tôi thì lại khác , thanh xuân của tôi chả có bây giờ gặp được aiii và hạnh phúc bền lâu cả :("
3326,Other,càng nhìn tấm ảnh càng thấy thương cha mẹ nhiều hơn
3327,Fear,"ám ảnh hồi bé của c , con này trông nhà oke hơn cả chó luôn"
3328,Other,cai lo xô tôi đang xài mỗi ngày
3329,Other,hình như xe biển xanh
3330,Disgust,lớp tao thì học nhau 3 năm chụp kỉ yếu nói : đéo có tiền đi chụp . địt mẹ mấy con mặt lồn . quá đen khi học còn mấy con đấy
3331,Surprise,trời ơi quảng cáo ngói mà sống động quá
3332,Enjoyment,"hy vọng chừng đó con đã đi mẫu giáo lớn , 1 xe bảy chổ và nhà hai tấm 🤣"
3333,Other,per đừng lầm tưởng
3334,Disgust,bưởi chín nó như vậy đấy ngu ạ
3335,Other,không sao đâu :) bệnh này lây qua đường tình bạn
3336,Anger,1 bạt tai 2 đạp chứ ở đó bướng
3337,Disgust,súc vật là có thật .😏
3338,Enjoyment,anh vui thì anh ngồi thôi ... chú cự để mặc anh . :v
3339,Enjoyment,"phim này nên xem và thuộc mấy đoạn thoại , rất hay"
3340,Sadness,vn là vậy . bn công chăm sóc của tao đổ sông đổ biển .
3341,Other,thế em ăn anh được không ?
3342,Enjoyment,như kiểu người yêu luôn ấy =))) nhẹ nhàng
3343,Enjoyment,per cđ chỉ cần đơn giản như thế đã ấm lòng thế ... rơi cả nói chuyện mắt ...
3344,Sadness,chỉ mong cảnh này sẽ không còn xãy ra ở xã hội này nữa . bất hạnh vậy đủ rồi 😞🙁
3345,Disgust,đúng phải chia tay gặp loại óc chó thế này cơ mà
3346,Disgust,xạo quá add ơi ! y tế nào lương 24tr thế ?
3347,Sadness,"tao thì chưa cắt thì đã đéo có sức hút rồi cắt , bùn vãi"
3348,Enjoyment,"per đâ ́ y , hiê ̉ u vi ̀ sao nên cha ̀ o mo ̣ i ngươ ̀ i chưa"
3349,Other,khó hiểu lắm
3350,Sadness,ước gì tôi cũng được kiên trì như anh ấy để dạy con gào mất nết nhà tôi 😪
3351,Disgust,con này ăn cức mà lớn hay sao ấy . đánh không lại thì chạy ngu như bò đứng cho tụi nó đánh
3352,Disgust,khi nào có người mang trầu cau sang hỏi cưới thì tao kết hôn . hỏi thừa thế 😒
3353,Enjoyment,cho em canh với . hehe
3354,Enjoyment,"vừa về xong , phải nói là đông vãi đông chứ không phải đông bình thường =))))"
3355,Enjoyment,trên đời vẫn còn nhiều điều tốt đẹp ❤️
3356,Sadness,chắc học từ bỏ quá
3357,Enjoyment,mẹ thấy đơn giản không ? đấy giờ chỉ việc lên số cái .... lên ...☝️☝️
3358,Disgust,và thế những thanh niên ô dâm vào bình luận về cô giáo mình như đúng rồi . nhân cách mất mẹ nó rồi
3359,Disgust,per tôi có 1 thằng bạn lúc nào cũng chỉ lo dìm hàng chiều cao của tôi thôi .
3360,Sadness,yêu làm mẹ gì rồi phải chia tay người ơi
3361,Other,cô per vợ ông per - trung nguyên - có phải là cô giáo per huyền thoại không nhỉ ?
3362,Other,chỉ sợ tốc độ ăn của dân mình thì không kịp gây hại thôi
3363,Disgust,phạt là đúng rồi
3364,Other,cần có cơ quan chức năng tới để làm rõ vụ việc với ngư dân đã bắt nó
3365,Disgust,ai bảo đi mách lẻo làm gì chúng nó chả đánh cho .
3366,Enjoyment,chúc mừng em và chúc em học tập tốt ngành học đã chọn ! niềm tự hào của tây bắc !
3367,Disgust,t nghĩ thợ chụp đéo có tâm bằng thợ make đăng và thợ photoshop đâu
3368,Disgust,"nói dân trí thấp lại tự ái , hỏi nhiều hỏng nhiệm vụ nó lại quy tội chống người thi hành công vụ thì ăn lồn"
3369,Enjoyment,có chị em nào khu vực loc đi coi cùng mình không ...
3370,Other,vì ai cũng có mối quan tâm riêng
3371,Enjoyment,"nói câu sau là nuốt câu trước , y chang nuốt não nó v đó nhỉ kk thật thú vị"
3372,Other,mới mua p30 luôn
3373,Sadness,rồi nhận ra chỉ mình là cảm thấy như thế thôi hả :(
3374,Disgust,nhìn cách dạy chó là biết cách dạy con
3375,Enjoyment,ngày nào cũng ngủ với mẹ rồi mà vẫn còn tiếc :)))))
3376,Enjoyment,"thằng nào vẽ đẹp , vẽ giúp tao tấm ảnh per phòng hờ cúp điện không có tài liệu quay tay :("
3377,Disgust,cho chừa cái thói chạy xe khôn lõi
3378,Enjoyment,thề luôn con ngáo nó thích trêu mấy đứa sợ sợ như này =))
3379,Anger,"đm tao quăng bể mẹ nó cái màn hình , chó admin - _ -"
3380,Other,không biết nguyên nhân từ đâu
3381,Other,tài năng sáng tạo vẩy bút thôi cũng là nghệ thuật
3382,Fear,má :))) đoạn đeo mặt nạ kinh dị vkl :))
3383,Disgust,thế mới bảo . chủ động riết rồi nó xem thường :))
3384,Other,cafe nguyên chất 🙂
3385,Sadness,"chưa nói chuyện thân thiết quan tâm , mới xã giao thôi đã lầm tưởng rồi ấy chứ , haizz khổ lắm"
3386,Fear,các mày trốn đi bọn chủ tịch đang đến kìa 😨😨😨
3387,Enjoyment,cái này phải hơn 20 năm rồi . lần đầu không biết canh lửa nên cơm khét hoài 🤣🤣🤣🤣🤣
3388,Disgust,per ông này ác thật con bé nó van xin thế rồi
3389,Other,per sự tích con chim họa tao với mấy thắc mắc hồi trước nè
3390,Disgust,"mỏi lần làm phiền và sát hại bao nhiu con kiến , tôi không tu hành nhưng làm thế vì miếng ăn ác ôn quá ngon lành gì"
3391,Enjoyment,lớn lên sẽ rất đẹp chaiii ??
3392,Sadness,"thấy bảo sang năm được tủi , nhưng mà năm nay vẫn chưa có người êu"
3393,Enjoyment,diễn viên có cá tính hay nhât từng xem
3394,Enjoyment,mệt như chó :3 nhưng mà hoan hỉ đầu năm đi xin lộc :v
3395,Fear,per cái dume mày thấy tác hại của tập gym chưa
